央视,#genre#
山西卫视HD,http://121.233.191.119:4022/rtp/239.49.1.55:8000
陕西卫视HD,http://121.233.191.119:4022/rtp/239.49.1.74:8000
天津卫视HD,http://121.233.191.119:4022/rtp/239.49.8.35:8620
天津卫视HD,http://121.233.191.119:4022/rtp/239.49.8.148:6000
甘肃卫视HD,http://121.233.191.119:4022/rtp/239.49.0.250:8000
西藏卫视HD,http://121.233.191.119:4022/rtp/239.49.1.56:8000
新疆卫视HD,http://121.233.191.119:4022/rtp/239.49.1.57:8000
云南卫视HD,http://121.233.191.119:4022/rtp/239.49.0.177:8000
兵团卫视HD,http://121.233.191.119:4022/rtp/239.49.1.58:8000
内蒙古卫视HD,http://121.233.191.119:4022/rtp/239.49.1.75:8000
黑龙江卫视HD,http://121.233.191.119:4022/rtp/239.49.8.14:9426
黑龙江卫视HD,http://121.233.191.119:4022/rtp/239.49.8.144:6000
山东教育卫视HD,http://121.233.191.119:4022/rtp/239.49.0.252:8000
安徽卫视,http://121.233.191.119:4022/rtp/239.49.1.36:6000
北京卫视,http://121.233.191.119:4022/rtp/239.49.1.33:6000
兵团卫视,http://121.233.191.119:4022/rtp/239.49.0.240:8000
东方卫视,http://121.233.191.119:4022/rtp/239.49.1.32:6000
东南卫视,http://121.233.191.119:4022/rtp/239.49.1.45:6000
甘肃卫视,http://121.233.191.119:4022/rtp/239.49.0.172:8000
广东卫视,http://121.233.191.119:4022/rtp/239.49.1.39:6000
广西卫视,http://121.233.191.119:4022/rtp/239.49.1.40:6000
贵州卫视,http://121.233.191.119:4022/rtp/239.49.1.52:6000
海南卫视,http://121.233.191.119:4022/rtp/239.49.1.41:6000
河北卫视,http://121.233.191.119:4022/rtp/239.49.0.170:8000
河南卫视,http://121.233.191.119:4022/rtp/239.49.1.44:6000
黑龙江卫视,http://121.233.191.119:4022/rtp/239.49.1.50:6000
湖北卫视,http://121.233.191.119:4022/rtp/239.49.1.48:6000
湖南卫视,http://121.233.191.119:4022/rtp/239.49.1.38:6000
吉林卫视,http://121.233.191.119:4022/rtp/239.49.1.49:6000
江苏卫视,http://121.233.191.119:4022/rtp/239.49.1.16:6000
江西卫视,http://121.233.191.119:4022/rtp/239.49.1.47:6000
辽宁卫视,http://121.233.191.119:4022/rtp/239.49.1.35:6000
内蒙古卫视,http://121.233.191.119:4022/rtp/239.49.0.180:8000
宁夏卫视,http://121.233.191.119:4022/rtp/239.49.0.171:8000
青海卫视,http://121.233.191.119:4022/rtp/239.49.1.53:6000
三沙卫视,http://121.233.191.119:4022/rtp/239.49.0.165:8000
厦门卫视,http://121.233.191.119:4022/rtp/239.49.0.230:8000
